blue;purple;mlBlue;mlPurple;bof;handicap;divisor;already;date Resolved
H2k;Copenhagen Wolves;1.793;2.04;3;0;1;53.69;9/9/2014
CLG;Crs Acad;1.363;3.18;3;0;1;41.11;9/9/2014
