Team 1;Team 2;Team 1 win?;blue side;date;Event;rooster 1;rooster 2;ID;relevance;comment
SHC XD;Millenium;1;1;14/8/2014;EU Summer Playoffs 2014 - 5th Place Match;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;kev1n,Kottenx,Kerp,Creaton,Jree;1;1;game 1,bo5
SHC XD;Millenium;1;2;14/8/2014;EU Summer Playoffs 2014 - 5th Place Match;Mimer,Impaler,SELFIE,MrRalleZ,KaSing;kev1n,Kottenx,Kerp,Creaton,Jree;2;1;game 2,bo5
